id,tradition,chunk_index,embedding,text,model
analects_trans,China/Confucianism,0,"[-0.02691188  0.01613758  0.00637214 ...  0.01180668 -0.05863514
  0.01157759]","The Project Gutenberg eBook of Rhoda Fleming — Volume 4

This eBook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this eBook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.",BAAI/bge-m3
analects_trans,China/Confucianism,1,"[-0.02296844  0.00699977 -0.01623786 ...  0.00291791 -0.04810897
 -0.0008557 ]","ws of the country where you are located
before using this eBook.

Title: Rhoda Fleming — Volume 4

Author: George Meredith

Release date: September 1, 2003 [eBook #4424]
 Most recently updated: December 28, 2020

Language: English

Other information and formats: www.gutenberg.org/ebooks/4424

Credits: This etext was produced by Pat Castevans and David Widger

*** START OF THE PROJECT GUTENBERG EBOOK RHODA FLEMING — VOLUME 4 ***",BAAI/bge-m3
analects_trans,China/Confucianism,2,"[-0.03157207  0.00759026 -0.01332863 ...  0.01162686 -0.02499042
  0.07109784]","TART OF THE PROJECT GUTENBERG EBOOK RHODA FLEMING — VOLUME 4 ***

This etext was produced by Pat Castevans <patcat@ctnet.net>
and David Widger <widger@cecomet.net>

RHODA FLEMING

By George Meredith

BOOK 4.

XXX. THE EXPIATION
XXXI. THE MELTING OF THE THOUSAND
XXXII. LA QUESTION D'ARGENT
XXXIII. EDWARD'S RETURN
XXXIV. FATHER AND SON
XXXV. THE NIGHT BEFORE
XXXVI. EDWARD MEETS HIS MATCH
XXXVII. EDWARD TRIES HIS ELOQUENCE
XXXVIII. TOO LATE

CHAPTER XXX",BAAI/bge-m3
analects_trans,China/Confucianism,3,"[-0.02871148  0.02441449 -0.01360572 ... -0.0131718   0.02613226
  0.01937664]","XXVII. EDWARD TRIES HIS ELOQUENCE
XXXVIII. TOO LATE

CHAPTER XXX

Those two in the open carriage, one of whom had called out Sedgett's
name, were Robert and Major Waring. When the cab had flown by, they fell
back into their seats, and smoked; the original stipulation for the day
having been that no harassing matter should be spoken of till nightfall.",BAAI/bge-m3
analects_trans,China/Confucianism,4,"[-0.00276468  0.02606023  0.00385088 ...  0.00366862  0.01062306
 -0.0127716 ]","een that no harassing matter should be spoken of till nightfall.

True to this, Robert tried to think hard on the scene of his recent
enjoyment. Horses were to him what music is to a poet, and the glory of
the Races he had witnessed was still quick in heart, and partly
counteracted his astonishment at the sight of his old village enemy in
company with Algernon Blancove.",BAAI/bge-m3
analects_trans,China/Confucianism,5,"[-0.02061136  0.0383477  -0.00396813 ...  0.00256647 -0.01597497
  0.00048771]","ight of his old village enemy in
company with Algernon Blancove.

It was not astonishing at all to him that they should have quarrelled and
come to blows; for he knew Sedgett well, and the imperative necessity for
fighting him, if only to preserve a man's self-respect and the fair
division of peace, when once he had been allowed to get upon terms
sufficiently close to assert his black nature; but how had it come about?
How was it that a gentleman could consent to appear publicly with such a
fellow? He decided that it meant something, and something ominous--but
what? Whom could it affect? Was Algernon Blancove such a poor creature
that, feeling himself bound by certain dark dealings with Sedgett to keep
him quiet, he permitted the bullying dog to hang to his coat-tail? It
seemed improbable that any young gentleman should be so weak, but it
might be the case; and ""if so,"" thought Robert, ""and I let him know I
bear him no ill-will for setting Sedgett upon me, I may be doing him a
service.""",BAAI/bge-m3
analects_trans,China/Confucianism,6,"[-0.02251148  0.02800246  0.00916522 ... -0.00803985 -0.01443965
  0.02255812]","will for setting Sedgett upon me, I may be doing him a
service.""

He remembered with pain Algernon's glance of savage humiliation upward,
just before he turned to follow Sedgett into the cab; and considered that
he ought in kindness to see him and make him comfortable by apologizing,
as if he himself had no complaint to make.

He resolved to do it when the opportunity should come. Meantime, what on
earth brought them together?

""How white the hedges are!"" he said.",BAAI/bge-m3
analects_trans,China/Confucianism,7,"[-0.02209277  0.04309642  0.01187258 ... -0.00995579  0.02029532
  0.01201784]","rth brought them together?

""How white the hedges are!"" he said.

""There's a good deal of dust,"" Major Waring replied.

""I wasn't aware that cabs came to the races.""

""They do, you see.""

Robert perceived that Percy meant to fool him if he attempted a breach of
the bond; but he longed so much for Percy's opinion of the strange
alliance between Sedgett and Algernon Blancove, that at any cost he was
compelled to say, ""I can't get to the bottom of that.""",BAAI/bge-m3
analects_trans,China/Confucianism,8,"[-0.02642504  0.00992079 -0.01357756 ... -0.06201928  0.02797421
  0.00993188]","st he was
compelled to say, ""I can't get to the bottom of that.""

""That squabble in the road?"" said Percy. ""We shall see two or three more
before we reach home.""

""No. What's the meaning of a gentleman consorting with a blackguard?""
Robert persisted.

""One or the other has discovered an assimilation, I suppose,"" Percy gave
answer. ""That's an odd remark on returning from Epsom. Those who jump
into the same pond generally come out the same colour.""

Robert spoke low.",BAAI/bge-m3
analects_trans,China/Confucianism,9,"[-0.06138881 -0.01492065  0.00675357 ... -0.04287674 -0.03501429
 -0.01662206]","ame pond generally come out the same colour.""

Robert spoke low.

""Has it anything to do with the poor girl, do you think?""

""I told you I declined to think till we were home again. Confound it,
man, have you no idea of a holiday?""

Robert puffed his tobacco-smoke.

""Let's talk of Mrs. Lovell,"" he said.

""That's not a holiday for me,"" Percy murmured but Robert's mind was too
preoccupied to observe the tone, and he asked,--

""Is she to be trusted to keep her word faithfully this time?""",BAAI/bge-m3
analects_trans,China/Confucianism,10,"[-0.02770841  0.05988505 -0.01185032 ... -0.03341451 -0.00947878
 -0.00150958]","-

""Is she to be trusted to keep her word faithfully this time?""

""Come,"" said Percy, ""we haven't betted to-day. I'll bet you she will, if
you like. Will you bet against it?""

""I won't. I can't nibble at anything. Betting's like drinking.""

""But you can take a glass of wine. This sort of bet is much the same.
However, don't; for you would lose.""",BAAI/bge-m3
analects_trans,China/Confucianism,11,"[-0.02603856  0.01303403 -0.03159609 ... -0.00925699 -0.03222353
 -0.01068649]","rt of bet is much the same.
However, don't; for you would lose.""

""There,"" said Robert; ""I've heard of being angry with women for
fickleness, changeableness, and all sorts of other things. She's a lady
I couldn't understand being downright angry with, and here's the reason--
it ain't a matter of reason at all--she fascinates me. I do, I declare,
clean forget Rhoda; I forget the girl, if only I see Mrs. Lovell at a
distance. How's that? I'm not a fool, with nonsensical fancies of any
kind. I know what loving a woman is; and a man in my position might be
ass enough to--all sorts of things. It isn't that; it's fascination.
I'm afraid of her. If she talks to me, I feel something like having
gulped a bottle of wine. Some women you have a respect for; some you
like or you love; some you despise: with her, I just feel I'm
intoxicated.""",BAAI/bge-m3
analects_trans,China/Confucianism,12,"[-0.0182437   0.03228298  0.00228234 ...  0.00901408  0.00241228
  0.01989228]","love; some you despise: with her, I just feel I'm
intoxicated.""

Major Waring eyed him steadily. He said: ""I'll unriddle it, if I can, to
your comprehension. She admires you for what you are, and she lets you
see it; I dare say she's not unwilling that you should see it. She has a
worship for bravery: it's a deadly passion with her.""

Robert put up a protesting blush of modesty, as became him. ""Then why,
if she does me the honour to think anything of me, does she turn against
me?""",BAAI/bge-m3
analects_trans,China/Confucianism,13,"[-0.0176227   0.02756023  0.00574682 ... -0.05882893 -0.0359089
 -0.00106913]","e the honour to think anything of me, does she turn against
me?""

""Ah! now you go deeper. She is giving you what assistance she can; at
present: be thankful, if you can be satisfied with her present doings.
Perhaps I'll answer the other question by-and-by. Now we enter London,
and our day is over. How did you like it?""

Robert's imagination rushed back to the downs.",BAAI/bge-m3
analects_trans,China/Confucianism,14,"[-0.04330548  0.0252401  -0.0105872  ... -0.03628085  0.00812198
  0.01482   ]","id you like it?""

Robert's imagination rushed back to the downs.

""The race was glorious. I wish we could go at that pace in life; I
should have a certainty of winning. How miserably dull the streets look;
and the people creep along--they creep, and seem to like it. Horseback's
my element.""",BAAI/bge-m3
analects_trans,China/Confucianism,15,"[-0.01586542  0.02259142 -0.04612246 ...  0.00580766 -0.00786516
  0.01140767]","along--they creep, and seem to like it. Horseback's
my element.""

They drove up to Robert's lodgings, where, since the Winter, he had been
living austerely and recklessly; exiled by his sensitiveness from his two
homes, Warbeach and Wrexby; and seeking over London for Dahlia--a
pensioner on his friend's bounty; and therein had lain the degrading
misery to a man of his composition. Often had he thought of enlisting
again, and getting drafted to a foreign station. Nothing but the
consciousness that he was subsisting on money not his own would have kept
him from his vice. As it was, he had lived through the months between
Winter and Spring, like one threading his way through the tortuous
lengths of a cavern; never coming to the light, but coming upon absurd
mishaps in his effort to reach it. His adventures in London partook
somewhat of the character of those in Warbeach, minus the victim; for
whom two or three gentlemen in public thoroughfares had been taken.
These misdemeanours, in the face of civil society, Robert made no mention
of in his letters to Percy.",BAAI/bge-m3
analects_trans,China/Confucianism,16,"[-0.05844335  0.01823372  0.02030521 ...  0.01658436 -0.03006185
  0.03659644]","ivil society, Robert made no mention
of in his letters to Percy.

But there was light now, though at first it gave but a faint glimmer, in
a lady's coloured envelope, lying on the sitting-room table. Robert
opened it hurriedly, and read it; seized Dahlia's address, with a brain
on fire, and said:

""It's signed 'Margaret Lovell.' This time she calls me 'Dear Sir.'""

""She could hardly do less,"" Percy remarked.",BAAI/bge-m3
analects_trans,China/Confucianism,17,"[-0.02304215  0.05436225 -0.01607648 ...  0.00573686 -0.02549719
  0.00826565]","lls me 'Dear Sir.'""

""She could hardly do less,"" Percy remarked.

""I know: but there is a change in her. There's a summer in her writing
now. She has kept her word, Percy. She's the dearest lady in the world.
I don't ask why she didn't help me before.""

""You acknowledge the policy of mild measures,"" said Major Waring.

""She's the dearest lady in the world,"" Robert repeated. He checked his
enthusiasm. ""Lord in heaven! what an evening I shall have.""",BAAI/bge-m3
analects_trans,China/Confucianism,18,"[-0.01879909  0.03266148 -0.01691979 ... -0.01933486 -0.00648178
  0.02999587]","his
enthusiasm. ""Lord in heaven! what an evening I shall have.""

The thought of his approaching interview with Dahlia kept him dumb.

As they were parting in the street, Major Waring said, ""I will be here at
twelve. Let me tell you this, Robert: she is going to be married; say
nothing to dissuade her; it's the best she can do; take a manly view of
it. Good-bye.""",BAAI/bge-m3
