tier,ATU_id,ATU_title,TMI_id,TMI_title,title_sim,doc_sim,shared
A,277,The King of the Frogs,B245.1,King Of Frogs,1.000,0.628,2
A,750B,Hospitality Rewarded,Q45,Hospitality Rewarded,1.000,0.388,2
A,1824,Parody Sermon,K1961.1.2.1,Parody Sermon,1.000,0.694,2
A,159B,Enmity of Lion and Man,A2494.7.3,Enmity Between Lion And Man,1.000,0.533,2
A,335,Death's Messengers,Z111.6,Death's Messengers,1.000,0.592,2
A,709A,The Sister of Nine Brothers,P253.0.4,One Sister And Ten Brothers,1.000,0.461,2
A,709A,The Sister of Nine Brothers,P253.0.2,One Sister And Two Brothers,1.000,0.461,2
A,709A,The Sister of Nine Brothers,P253.0.3,One Sister And Three (Four) Brothers,1.000,0.461,2
A,836,Pride is Punished,Q331,Pride Punished,1.000,0.627,2
A,952*,A Sausage and a Revolver,K437.3,Sausage As Revolver,1.000,0.741,2
A,986,The Lazy Husband,W111.4,Lazy Husband,1.000,0.396,2
A,1448*,Burned and Underbaked Bread,S54.1,Burned And Underbaked Bread,1.000,0.739,3
A,1575*,The Clever Shepherd,J1115.9,Clever Shepherd,1.000,0.529,2
A,1641D,The Sham Physician,K1955,Sham Physician,1.000,0.428,2
A,1833E,God Is Dead,A108.1,God Of The Dead,1.000,0.604,2
A,2260,The Golden Key,F886.1,Golden Key,1.000,0.563,2
A,545A,The Cat Castle,F771.4.2,Cat Castle,1.000,0.358,2
A,546,The Clever Parrot,J1118.1,Clever Parrot,1.000,0.691,2
A,594*,The Magic Bridle,D1209.1,Magic Bridle,1.000,0.579,2
A,756E*,Charity Rewarded,V410,Charity Rewarded,1.000,0.514,2
A,910N,The Magic Box,D1174,Magic Box,1.000,0.488,2
A,1319G*,Boot Mistaken for an Axe-sheath,J1772.11,Boot Mistaken For An Axe-Sheath,1.000,0.956,4
A,1420,The Lover's Gift Regained,K1357,Lover's Gift Regained,1.000,0.685,3
A,1693,The Literal Fool,J2450,Literal Fool,1.000,0.652,2
A,1889H,Submarine Otherworld,F133,Submarine Otherworld,1.000,0.446,2
A,1890B*,Fatal Bread,J1824,Fatal Bread,1.000,0.600,2
A,200B,Why Dogs Sniff at One Another,A2471.1.1,Why Dogs Sniff At One Another,1.000,0.538,2
A,760,The Unquiet Grave,E410,The Unquiet Grave,1.000,0.365,2
A,1577,Blind Men Duped into Fighting,K1081,Blind Men Duped Into Fighting,1.000,0.705,4
A,875A,Girl's Riddling Answer Betrays a Theft,H582.1,Riddling Answer Betrays Theft,0.977,0.521,4
A,180,The Rebounding Bow,N335.3,Death By Rebounding Bow,0.959,0.691,2
A,300,The Dragon-Slayer,B11.11.7,Woman As Dragon-Slayer,0.956,0.351,2
A,368C*,The Death of the Cruel Stepmother,S31,Cruel Stepmother,0.948,0.551,2
A,820A,The Devil Mows with a Magic Sickle,D1206.1,Magic Sickle,0.947,0.422,2
A,1348*,The Boy with Active Imagination,W211,Active Imagination,0.945,0.629,2
A,1288**,The Long Nose,G303.4.1.4.1,Devil Has A Long Nose,0.942,0.417,2
A,1525G,The Thief in Disguise,K311.15,Thief In Disguise As God,0.941,0.469,2
A,122F,'Wait till I Am Fat Enough.',K553.0.1,"""Wait Till I Am Fat Enough To Race You",0.938,0.597,3
A,1418,The Equivocal Oath,K550.1,Escape By Equivocal Oath,0.936,0.418,2
A,513,The Extraordinary Companions,F601.7,Animals As Extraordinary Companions,0.935,0.417,2
A,113B,The Cat as Sham Holy Man,K1961.1.5,Sham Holy Man,0.934,0.467,2
A,369,The Youth on a Quest for his Lost Father,H1385.7,Quest For Lost Father,0.928,0.474,3
A,1693,The Literal Fool,J2490,Literal Fool -- Miscellaneous,0.927,0.567,2
A,1525H,1525H4 The Youth in the Bee Hive,A2432.8,Bee's Hive,0.920,0.414,2
A,1319*,Other Mistaken Identities,J1809,Other Things With Mistaken Identities,0.917,0.696,2
A,1420,The Lover's Gift Regained,K1581.7,Lover's Gift Regained: Anser Venalis (Goose As Gift),0.914,0.518,3
A,244,The Raven in Borrowed Feathers,K1041,Borrowed Feathers,0.904,0.509,2
A,1575A*,God Speaks,A182.3.0.5,God Speaks From Mountain,0.903,0.376,2
A,1095,Scratching Contest,K83,Deceptive Scratching Contest,0.903,0.389,2
A,1925,Contest in Wishing,H507.3.1,Three Brothers Contest In Wishing,0.901,0.457,2
A,1080*,Laughing Contest,K87,Deceptive Laughing Contest,0.900,0.449,2
A,903C*,Mother-in-law and Daughter-in-law,P262.1,Bad Relations Between Mother-In-Law And Daughter-In-Law,0.895,0.741,3
A,891C*,'The Pig Eats the Money.',W151.7,Eats Up The Money,0.889,0.351,2
A,1420,The Lover's Gift Regained,K1581.6,Lover's Gift Regained: Jewelry As Gift,0.885,0.453,3
A,775,Midas' Short-sighted Wish,J2072,Short-Sighted Wish,0.884,0.502,3
A,1811,Jokes about Religious Vows,M183,Religious Vows,0.882,0.711,2
A,1355A*,Unfaithful Wife as Judge,T92.1.2,Would-Be Unfaithful Wife,0.874,0.512,2
A,1556,The Double Pension (Burial Money),K441.1,The Double Pension,0.872,0.462,2
A,361*,The Wolf with an Iron Head,F511.0.3.1,Person With Iron Head,0.866,0.428,2
A,1525,The Master Thief,K302,Female Master Thief,0.863,0.403,2
A,1840B,The Stolen Ham (Goat),K306.1,The Stolen And Restolen Ham,0.861,0.429,2
A,1785C,The Sexton's Wasp nest,A2432.2,Why Wasp Has Nest,0.861,0.606,2
A,1871A,Star Gazer Falls into Well,F642.1,Remarkable Star-Gazer,0.859,0.565,2
A,779,Miscellaneous Divine Rewards and Punishments,Q0,Rewards And Punishments,0.851,0.564,2
A,1577,Blind Men Duped into Fighting,K1081.2,Blind Men Duped Into Fighting: Stolen Meat,0.848,0.532,4
A,513,The Extraordinary Companions,F601.4,Extraordinary Companions Rescue Hero,0.839,0.354,2
A,233A,The Birds Escape by Shamming Death,K522,Escape By Shamming Death,0.838,0.573,3
A,201D*,The Dog Barks at the Thieves,A2426.1.5,Why Dog Barks After Thief,0.835,0.543,2
A,1074,Race Won by Deception: Relatives as Helpers,K11,Race Won By Deception,0.831,0.537,3
A,116,The Bear on the Hay-Wagon,J1411,The Hay Wagon And The Gate,0.828,0.478,2
A,924,Discussion in Sign Language,Z175,Sign Language,0.827,0.470,2
A,1288**,The Long Nose,A2335.3.2,Why Tapir Has Long Nose,0.821,0.507,2
A,222A,The Bat in War between Birds and Quadrupeds,B261,War Of Birds And Quadrupeds,0.821,0.517,3
A,1441B*,Godfather and Godmother,Q242.1,Cohabitation Of Godfather And Godmother Punished,0.820,0.399,2
A,1351,The Silence Wager,J2511.2,Numskulls Make Silence Wager,0.814,0.421,2
A,1420,The Lover's Gift Regained,K1581.8,Lover's Gift Regained: Refusal To Leave Bed,0.812,0.467,3
