tier,BZ_id,BZ_title,TMI_id,TMI_title,title_sim,doc_sim,shared
A,A18,The Sun boat,A723,Boat Of The Sun,1.000,0.831,2
A,B80,Measuring of the world,A1186,Measuring The World,1.000,0.889,2
A,C31b,The wise owl,B122.0.3,Wise Owl,1.000,0.819,2
A,I35C,God the craftsman,A141,God As Craftsman,1.000,0.725,2
A,I75,World ages,A1101,The Four Ages Of The World,1.000,0.703,2
A,I87B,The quest for a strong adversary,H1225,Quest For A Strong Adversary,1.000,0.848,3
A,I141,The magic wand,D1254.1,Magic Wand,1.000,0.831,2
A,J57,Son of the Sun,A225,Son Of The Sun,1.000,0.696,2
A,L15a1,Achilles' heel,Z311,Achilles Heel,1.000,0.793,2
A,L100D,The entrapped suitors,K1218.1,The Entrapped Suitors,1.000,0.512,2
A,L126,The bird indifferent to pain,Z49.3,The Bird Indifferent To Pain,1.000,0.458,3
A,M106d,"My name is ""Son-in-law""",P265,Son-In-Law,1.000,0.751,2
A,M106h,Holding down the hat,K1252,Holding Down The Hat,1.000,0.633,2
A,M116,Wisdom of hidden old man saves kingdom,J151.1,Wisdom Of Hidden Old Man Saves Kingdom,1.000,0.687,5
A,M157D,Pulling up a turnip,Z49.9,Pulling Up The Turnip,1.000,0.730,2
A,M196,The silence wager,J2511,The Silence Wager,1.000,0.641,2
A,A5,The Sun and the Moon are males,R9.1.3,Sun And Moon Imprison Each Other,1.000,0.579,2
A,A6,The Sun and the Moon are females,R9.1.3,Sun And Moon Imprison Each Other,1.000,0.543,2
A,B28E,The Moon organizes the world,A695,Moon As Next World,1.000,0.663,2
A,B56,Fire tongue of the crocodile,A2344.1.1.2,Why Crocodile Has No Tongue,1.000,0.809,2
A,B79,Cosmic egg,A641,Cosmic Egg,1.000,0.658,2
A,B89,Owl as a king of birds,B242.1.8,Owl As King Of Birds,1.000,0.879,3
A,C30A,A pound of flesh,J1161.2,Pound Of Flesh,1.000,0.595,2
A,F3A,The pregnant man,T578,Pregnant Man,1.000,0.836,1
A,F18A,The long penis,F547.3.1,Long Penis,1.000,0.735,2
A,F30,Snake paramour,B613.1,Snake Paramour,1.000,0.554,2
A,F45A,Conception from wind,T524,Conception From Wind,1.000,0.771,2
A,F98,God and a cow,A132.9.1,Cow As God,1.000,0.833,2
A,H1A,The originator of death the first sufferer,K1681,Originator Of Death First Sufferer,1.000,0.689,3
A,I62,Milky Way is a river,A778.3,Milky Way As A River,1.000,0.869,3
A,I80B,The forgotten wind,J755.1,The Forgotten Wind,1.000,0.505,2
A,K19B,Star-husband,A762.1,Star-Husband,1.000,0.807,2
A,K27o1,Head used as ball,S139.2.2.4.1,Head Used As Ball,1.000,0.873,3
A,K35a3,The master becomes the servant,P360,Master And Servant,1.000,0.772,2
A,K38e3,The diamond kingdom,F707.3,Kingdom Where Everything Is Of Diamond,1.000,0.729,2
A,K73a9,The speaking bed,D1610.17,Speaking Bed,1.000,0.687,2
A,K80C,The cranes of Ibycus,N271.3,The Cranes Of Ibycus,1.000,0.545,2
A,K80c2,The treasure finders who murder one another,K1685,The Treasure-Finders Who Murder One Another,1.000,0.669,3
A,K92B,Love like salt,H592.1,"""Love Like Salt",1.000,0.682,3
A,K100,A faithful servant,P361,Faithful Servant,1.000,0.619,2
A,K100B,A grateful dead,E341,The Grateful Dead,1.000,0.592,2
A,K103,Helpful cow,B411,Helpful Cow,1.000,0.740,2
A,K107E,The long pregnancy,T574,Long Pregnancy,1.000,0.741,2
A,K131D,Seven-league boots,D1521.1,Seven-League Boots,1.000,0.847,3
A,K153,"Grateful animals, ungrateful man",W154.8,Grateful Animals; Ungrateful Man,1.000,0.563,2
A,L15D,The external soul,E710,External Soul,1.000,0.590,2
A,L19b2,The nine-headed monster,B15.1.2.3.1,Four-Headed Monster,1.000,0.660,2
A,L19b3,The twelve-headed monster,B15.1.2.3.1,Four-Headed Monster,1.000,0.660,2
A,L93A,Helpful fox,B435.1,Helpful Fox,1.000,0.764,2
A,L93D,Helpful hedgehog,B449.1,Helpful Hedgehog,1.000,0.883,2
A,L100G,The goose with one leg,K402.1,The Goose Without A Leg,1.000,0.594,2
A,M24,Turtle’s war party,F1025.2,Turtle's War-Party,1.000,0.844,3
A,M39e1a,The iron-eating mice,J1531.2,The Iron-Eating Mice,1.000,0.718,3
A,M39e2,The speaking tree,D1610.2,Speaking Tree,1.000,0.510,2
A,M39g1,Jumping into the breeches,J2161.1,Jumping Into The Breeches,1.000,0.724,2
A,M108B,The helpful woodpecker,B461.1,Helpful Woodpecker,1.000,0.722,2
A,M151A,Holding up the rock,K1251,Holding Up The Rock,1.000,0.628,2
A,M159,The lion’s share,J811.1,The Lion's Share,1.000,0.537,2
A,M178,The lying goat,K1151,The Lying Goat,1.000,0.543,2
A,M180,Fox and crane invite each other,J1565.1,Fox And Crane Invite Each Other,1.000,0.741,3
A,M191A,Belling the cat,J671.1,Belling The Cat,1.000,0.906,2
A,M197A,The pot has a child and dies,J1531.3,The Pot Has A Child And Dies,1.000,0.676,3
A,M199n,Counting out pay,K275,Counting Out Pay,1.000,0.634,2
A,N28C,Pillar of the sky,F964.0.1,Pillar Of Fire (In Sky),1.000,0.808,2
A,B85B,Bag of winds,C322.1,Bag Of Winds,1.000,0.714,2
A,C41,Why the sky is blue,A702.4,Why The Sky Is Blue,1.000,0.726,2
A,D1A,Mother-in-law is the Fire,P262,Mother-In-Law,1.000,0.815,2
A,F14A,Birth from a rock,T544.1,Birth From Rock,1.000,0.708,2
A,F65A,Death feigned to meet paramour,K1538,Death Feigned To Meet Paramour,1.000,0.800,4
A,H7,The personified Death,Z111,Death Personified,1.000,0.581,2
A,J51A,Ladder made of bones,F848.3,Ladder Of Bones,1.000,0.917,2
A,K56a4,Dog the messenger,B291.2.2,Dog As Messenger,1.000,0.600,2
A,K77b1,The wolf flees from the wolf-head,K1715.3,The Wolf Flees From The Wolf-Head,1.000,0.720,3
A,L90E,Heads on stakes,Q421.1,Heads On Stakes,1.000,0.708,2
A,L93C,Helpful monkey,B441.1,Helpful Monkey,1.000,0.730,2
A,M39a5a,The sausage rain,J1151.1.3,The Sausage Rain,1.000,0.666,2
A,M75b1a,The predestined wife,T22.2,Predestined Wife,1.000,0.455,2
A,M87,Invisible ghosts,E421.1,Invisible Ghosts,1.000,0.755,2
A,M147B,The fox rids himself of fleas,K921,Fox Rids Himself Of Fleas,1.000,0.647,3
A,M191C,The singing wolf,Z33.4.2,The Singing Wolf,1.000,0.654,2
A,M193A,The fleeing pancake,Z33.1,The Fleeing Pancake,1.000,0.784,2
A,F9A,Vagina dentata,F547.1.1,Vagina Dentata,1.000,0.679,2
A,I60,Milky Way is a seam in the sky,A778.4,Milky Way As A Stitched Seam In The Sky,1.000,0.904,4
A,I138,The glass mountain,F751,Glass Mountain,1.000,0.879,2
A,K65C,The various children of Eve,A1650.1,The Various Children Of Eve,1.000,0.540,3
A,K107a3,The beauty and the beast,D735.1,Beauty And The Beast,1.000,0.513,2
A,M91c5,The wager that sheep are hogs,K451.2,The Wager That Sheep Are Hogs,1.000,0.545,3
A,M106e,For the long winter,K362.1,For The Long Winter,1.000,0.536,2
A,M134C,The wolf overeats in the cellar,K1022.1,Wolf Overeats In The Cellar (Smokehouse),1.000,0.745,3
A,M197C,Sham physician: using the flea powder,K1955.4,Sham Physician: Using The Flea Powder,1.000,0.735,5
A,F96,Ugly man becomes handsome,D52.2,Ugly Man Becomes Handsome,1.000,0.818,2
A,M39a5b,Husband discredited by absurd truth,J1151.1.2,Husband Discredited By Absurd Truth,1.000,0.666,4
A,B49B,Teats of the cow,A2363.1,Why Cow Has So Few Teats,0.751,0.974,2
A,K120a2,Not my mother but my mother-in-law,P262,Mother-In-Law,0.971,0.563,2
A,L9G,A man with a blue beard,F545.1.1,Blue Beard,0.971,0.621,2
A,K85B,Magic three-legged horse,B15.6.3.1.1,Six-Legged Horse,0.969,0.450,2
A,M156,The ungrateful one returned to captivity,J1172.3,Ungrateful Animal Returned To Captivity,0.967,0.573,3
A,N10,The transparent body,F529.5,Person With Transparent Body,0.958,0.650,2
A,K160,Three hairs from the devil’s beard,H1273.2,Quest For Three Hairs From Devil's Beard,0.957,0.646,3
A,J14,A flute-player,L113.10,Flute Player As Hero,0.956,0.739,2
A,K38F,The dragon-slayer,B11.11.7,Woman As Dragon-Slayer,0.956,0.550,2
A,I118,Helpful spider-woman,B489.1,Helpful Spider,0.951,0.729,2
A,F82A,What owl cries about,A2426.2.17,Origin Of Owl's Cries,0.951,0.564,2
A,I13A,The horned serpent,A2145.0.1,Origin Of Horned Serpent,0.950,0.597,2
A,B115A,Knots put in wood,A2755.4,Origin Of Knots In Wood,0.950,0.488,2
A,K27O,Ball game,A1495.1,Origin Of Ball Game,0.946,0.931,2
A,L19b2,The nine-headed monster,Z111.3,Death As Eight-Headed Monster,0.941,0.537,2
A,L19b3,The twelve-headed monster,Z111.3,Death As Eight-Headed Monster,0.941,0.537,2
A,I59b1,Milky Way is the road to a remote city,A778.2,Milky Way As A Road,0.936,0.807,3
A,K66,Extraordinary companions,F601.7,Animals As Extraordinary Companions,0.935,0.385,2
A,H22,Sense of smell,F652,Marvelous Sense Of Smell,0.921,0.689,2
A,C6C,The diver is a bird,A1975,Creation Of Diver (Bird),0.921,0.615,2
A,M126,The speaking skull,N819.3.1,Helpful Speaking Skull,0.921,0.533,2
A,M53C,Red eyes,G213.2,Witch With Red Eyes,0.920,0.454,2
A,M53C,Red eyes,F233.3.1,Fairy Has Red Eyes,0.919,0.418,2
A,D13I,Broken tooth,H57.1,Recognition By Broken Tooth,0.917,0.608,2
A,B19,The night and the married life,T200,Married Life,0.917,0.632,2
A,K67E,The woman as cuckoo in the tree,K1691,The Woman As Cuckoo On The Tree Shot Down,0.914,0.507,2
A,K27u1,One day from conception to birth,T500,Conception And Birth,0.914,0.673,2
A,C34A,Buried in sand,F948.5,City Is Buried Under Sand,0.907,0.599,2
A,M84b1,A journey to the land of the fish,F116,Journey To The Land Of The Immortals,0.907,0.727,2
A,I141,The magic wand,D1402.10,Magic Wand Kills,0.906,0.591,2
A,M38d2,"The bean, the straw and the coal",F1025.1,"Bean, Straw, And Coal Go Journeying",0.903,0.603,3
A,E1C,Person of excrements,D437.4,Transformation: Excrements To Person,0.901,0.700,2
A,B124,Depression on human foot,F551.1,Animal Foot On Human Being,0.900,0.469,2
A,K82,Evil sister-in-law,P264,Sister-In-Law,0.900,0.514,2
A,M190,The beaver and the porcupine,K896.1,Beaver And Porcupine Trick Each Other,0.899,0.719,2
A,K92,King Lear,M21,King Lear Judgment,0.894,0.422,2
A,M90a5,The golden apples,E745.5.1,Souls As Golden Apples,0.893,0.481,2
A,J56,Father tests his sons,H480,Father Tests,0.889,0.435,2
A,I66,Ashes on Milky Way,A778.8,Milky Way Is Smoke (Ashes),0.888,0.864,3
A,M39a2c,The sowing of salt,J1932.3,Sowing Salt To Produce Salt,0.884,0.734,2
A,H7B,The Death is stuck to a tree or a bench,Z111.2.1,Death Stuck To Tree,0.884,0.527,3
A,B27A,Transformation into thunder and lightning,F968,Extraordinary Thunder And Lightning,0.879,0.546,2
A,K123,Old woman’s curse,M411.5,Old Woman's Curse (Satire),0.879,0.570,2
A,F45a1,Accidental conception from wind,T524,Conception From Wind,0.877,0.615,2
A,M57C,Gold producing animal,B103.1.3,Gold-Producing Dog,0.876,0.559,2
A,B125C,Beaver and muskrat exchange tales,A2247.6,Beaver And Muskrat Exchange Tails,0.876,0.830,3
A,J62,People turned into stones,D471.8,Animals Turned Into Stones,0.873,0.615,2
A,A5,The Sun and the Moon are males,A736.11,Contest Between Sun And Moon,0.871,0.502,2
A,A6,The Sun and the Moon are females,A736.11,Contest Between Sun And Moon,0.871,0.471,2
A,M53C,Red eyes,A2332.5.4,Why Toad Has Red Eyes,0.871,0.433,2
A,C32,Ship made of nails,F841.1.7,Ship With Gold Nails,0.871,0.666,2
A,K107E,The long pregnancy,T574.1,Long Pregnancy: Twelve Months,0.870,0.614,2
A,A32E,Person with an object in hands,E767,Affinity Of Person And Object,0.870,0.549,2
A,K85B,Magic three-legged horse,E423.1.3.1,Revenant As Three-Legged Horse,0.868,0.414,2
A,K27f1,To build a bridge,B299.8.1,Tigers Build Bridge,0.867,0.655,2
A,K24B,To dance in her magic clothes,D1050,Magic Clothes,0.867,0.479,2
A,B5C,Primeval mother and daughter,P232,Mother And Daughter,0.866,0.412,2
A,I125,The Hiades are a jaw-bone,D1402.3.4,Magic Jaw Bone Of Ass Kills,0.861,0.669,2
A,M74d,Who ate the lamb’s heart?,K402,The Lamb Without A Heart,0.861,0.400,2
A,I4C,Storm-god as a prisoner,A281,Storm-God,0.859,0.747,2
A,M57C,Gold producing animal,B103.0.6,Gold-Producing Lion,0.857,0.494,2
A,K66A,The land and water ship,D1533.1.1,Magic Land And Water Ship,0.856,0.547,3
A,M202,Thorn removed from lion’s paw,B381,Thorn Removed From Lion's Paw (Androcles And The Lion),0.855,0.667,4
A,C10A,The flood: birds cling to the sky,A2211.7,Birds Cling To Sky In Flood: Cause Of Tail Colors,0.853,0.723,4
A,I64A,Race along Milky Way,A778.9,Milky Way As Race Track,0.853,0.666,3
A,M106g,The cow is taken to the roof to graze,J1904.1,Cow (Hog) Taken To Roof To Graze,0.852,0.738,4
A,M53C,Red eyes,A2332.5.2,Why Cuckoo Has Red Eyes,0.852,0.411,2
A,G16,Ants find cultivated plants,A2684,Origin Of Cultivated Plants,0.851,0.629,2
A,K85C,The four-legged horse is faster than the three-legged one,B15.6.3.1.1,Six-Legged Horse,0.851,0.507,2
A,M57C,Gold producing animal,B103.1.1,Gold-Producing Ass,0.851,0.602,2
A,E5A,Mankind ascends from the underworld,A1232,Mankind Ascends From Under The Earth,0.850,0.391,2
A,B9,Water in the tree trunk,F841.1.11,Boat Made Of A Tree Trunk,0.850,0.643,2
A,I92B,Treasure under the rainbow,N516,Treasure At End Of Rainbow,0.805,0.849,2
A,K183,In what fish is the swallowed one?,H75.3,Recognition By Hair Found In A Fish Which Has Swallowed It,0.848,0.576,2
